"siteID","site_type","lon_WGS84","lat_WGS84","X_albers","Y_albers","wgt","ip","R3ERU"
"Site-37","Base",-110.474804964246,32.1160984760484,-1354026.1330122,1108036.18787988,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-38","Base",-111.209234586718,34.2646195216794,-1383934.07950627,1355535.02829592,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-39","Base",-110.786511475225,31.7222982877923,-1389749.51354678,1069184.62572155,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-40","Base",-110.993476350021,34.1495047643667,-1366487.77738473,1339706.61408326,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-41","Oversample",-109.84393393176,32.7566775056032,-1285071.70081755,1169910.89798389,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-42","Oversample",-111.144225536064,31.3992238500698,-1428795.99924737,1038966.74404285,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-43","Oversample",-109.221335484567,31.9449835556837,-1240209.78107645,1072062.51921476,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-44","Oversample",-110.512736426367,31.3921809290469,-1369810.88255074,1028894.11681662,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-45","Oversample",-109.236948475109,31.877919645578,-1242702.10995096,1064867.78548174,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-46","Oversample",-110.654018384102,31.5828922132008,-1379780.19804876,1051917.2647623,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-47","Oversample",-109.416441779681,31.6737917687169,-1262640.740947,1044722.53102927,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-48","Oversample",-110.745378789507,31.7408359615707,-1385595.63208927,1070623.57246816,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-49","Oversample",-110.687374601361,31.4738292371685,-1384764.85579777,1040405.69078946,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
"Site-50","Oversample",-111.181264706215,34.2161558562262,-1382272.52692326,1349779.2413095,29886054.1744767,3.34604225155297e-08,"Madrean Encinal Woodland"
